Date,Predicted Sales,ITEM
2017-06-01,1084.3831513186108,TITO'S HANDMADE VODKA - 1.75L
2017-07-01,892.5620133224435,TITO'S HANDMADE VODKA - 1.75L
2017-08-01,723.4746589582493,TITO'S HANDMADE VODKA - 1.75L
2017-09-01,892.1847291439924,TITO'S HANDMADE VODKA - 1.75L
2017-10-01,1106.2050815847645,TITO'S HANDMADE VODKA - 1.75L
2017-11-01,833.3971433637614,TITO'S HANDMADE VODKA - 1.75L
2017-12-01,1616.6160552438237,TITO'S HANDMADE VODKA - 1.75L
2018-01-01,662.2917383098617,TITO'S HANDMADE VODKA - 1.75L
2018-02-01,978.8865068631482,TITO'S HANDMADE VODKA - 1.75L
2019-01-01,766.8960040440829,TITO'S HANDMADE VODKA - 1.75L
2019-02-01,1205.5834576272769,TITO'S HANDMADE VODKA - 1.75L
2019-03-01,923.6545994536685,TITO'S HANDMADE VODKA - 1.75L
2019-04-01,1291.7840436846082,TITO'S HANDMADE VODKA - 1.75L
2019-05-01,1072.7576639472024,TITO'S HANDMADE VODKA - 1.75L
2019-06-01,1707.3928297709363,TITO'S HANDMADE VODKA - 1.75L
2019-07-01,964.3869440615555,TITO'S HANDMADE VODKA - 1.75L
2019-08-01,1750.4086316675425,TITO'S HANDMADE VODKA - 1.75L
2019-09-01,976.3677726401087,TITO'S HANDMADE VODKA - 1.75L
2019-10-01,1610.3670865458803,TITO'S HANDMADE VODKA - 1.75L
2019-11-01,1108.2578196117852,TITO'S HANDMADE VODKA - 1.75L
2020-01-01,878.0843962952044,TITO'S HANDMADE VODKA - 1.75L
2020-03-01,1814.4353952163242,TITO'S HANDMADE VODKA - 1.75L
2020-07-01,1371.592430861829,TITO'S HANDMADE VODKA - 1.75L
2020-09-01,1348.7014539023382,TITO'S HANDMADE VODKA - 1.75L
2020-10-01,1354.0292424471113,TITO'S HANDMADE VODKA - 1.75L
2020-11-01,1189.3346051498825,TITO'S HANDMADE VODKA - 1.75L
2020-12-01,2308.025047575312,TITO'S HANDMADE VODKA - 1.75L
2021-01-01,1067.6915220030442,TITO'S HANDMADE VODKA - 1.75L
2021-02-01,1257.8412315917128,TITO'S HANDMADE VODKA - 1.75L
2021-03-01,1674.6379837261802,TITO'S HANDMADE VODKA - 1.75L
2017-06-01,1248.9954950702074,CORONA EXTRA LOOSE NR - 12OZ
2017-07-01,1363.9955838563674,CORONA EXTRA LOOSE NR - 12OZ
2017-08-01,990.0095346793872,CORONA EXTRA LOOSE NR - 12OZ
2017-09-01,1063.0003949833524,CORONA EXTRA LOOSE NR - 12OZ
2017-10-01,904.9971186076937,CORONA EXTRA LOOSE NR - 12OZ
2017-11-01,992.0043949195345,CORONA EXTRA LOOSE NR - 12OZ
2017-12-01,1169.9899378812706,CORONA EXTRA LOOSE NR - 12OZ
2018-01-01,665.0053317776346,CORONA EXTRA LOOSE NR - 12OZ
2018-02-01,973.0089478327839,CORONA EXTRA LOOSE NR - 12OZ
2019-01-01,765.0055455879352,CORONA EXTRA LOOSE NR - 12OZ
2019-02-01,928.0095620452892,CORONA EXTRA LOOSE NR - 12OZ
2019-03-01,952.9904689403897,CORONA EXTRA LOOSE NR - 12OZ
2019-04-01,962.9978879633497,CORONA EXTRA LOOSE NR - 12OZ
2019-05-01,1373.0022361561769,CORONA EXTRA LOOSE NR - 12OZ
2019-06-01,1493.9963894396426,CORONA EXTRA LOOSE NR - 12OZ
2019-07-01,1197.9960176535967,CORONA EXTRA LOOSE NR - 12OZ
2019-08-01,1417.0097622097032,CORONA EXTRA LOOSE NR - 12OZ
2019-09-01,972.001025266901,CORONA EXTRA LOOSE NR - 12OZ
2019-10-01,1003.9973090377648,CORONA EXTRA LOOSE NR - 12OZ
2019-11-01,1033.0046283304332,CORONA EXTRA LOOSE NR - 12OZ
2020-01-01,679.005735320849,CORONA EXTRA LOOSE NR - 12OZ
2020-03-01,991.9903271410092,CORONA EXTRA LOOSE NR - 12OZ
2020-07-01,1173.995885026362,CORONA EXTRA LOOSE NR - 12OZ
2020-09-01,748.0005794271084,CORONA EXTRA LOOSE NR - 12OZ
2020-10-01,458.924797763741,CORONA EXTRA LOOSE NR - 12OZ
2020-11-01,532.3149060475444,CORONA EXTRA LOOSE NR - 12OZ
2020-12-01,1177.7498056220006,CORONA EXTRA LOOSE NR - 12OZ
2021-01-01,173.01706480721623,CORONA EXTRA LOOSE NR - 12OZ
