ITEM_DESCRIPTION,RETAIL_SALES
MARCHESI DI BAROLO BAROLO      31343 - 750ML,-0.24999999999999997
BON APPETIT MUSCAT - 750ML,-0.17999999999999997
1800 SILVER TEQUILA - W/COASTER - 750ML,-0.17
WEREWOLF CAB - 750ML,-0.029999999999999985
ZURA MANAVI DRY WHITE - 750ML,0.0
12 LINAJES CRIANZA 750ML,0.0
ROUND HILL CAB - 1.5L,0.0
ZONTES FOOTSTEP CHOC FACTORY SHZ - 750ML,0.0
ZONTES FOOTSTEP CANTO DI LAGO - 750ML,0.0
ZONTES FOOTSTEP AVALON TREE CAB - 750ML,0.0
ZONTES BLACKBERRY PATCH CAB FLEURIEU - 750ML,0.0
ZONTA MERLOT BERGANZE - 750ML,0.0
ZONIN REGIONS MOSCATO - 750ML,0.0
ZONIN PROSECCO - 750ML,0.0
ZONIN PRIMO AMORE MOSCATO - 750ML,0.0
ZONIN MONT-ABRZ - 750ML,0.0
1623 NORDIC HAZE 6/4 16OZ CANS,0.0
1623 LUPULIN COMET 6/4 16OZ CANS,0.0
1623 IPA 1/6 KEG,0.0
ZYWIEC PORTER 4/6 NR,0.0
ZYNTHESIS OLD VINE ZINFANDEL - 750ML,0.0
ZONTES FOOTSTEP SCARLET LADYBIRD ROSE - 750ML,0.0
ZONTES FOOTSTEP LOVE SYMBOL GRENACHE - 750ML,0.0
ZONTES FOOTSTEP LAKE DOCTOR - 750ML,0.0
ZONTES FOOTSTEP EXCALIBUR S/BLC - 750ML,0.0
ROUGH DAY ROSE CAN - 375ML,0.0
14 VINES RHONE RED - 750ML,0.0
14 HANDS UNICORN BUBBLES ROSE CAN - 375ML,0.0
14 HANDS RUN WILD REND BLEND - 750ML,0.0
ROUGH DAY PINOT NOIR - 750ML,0.0
14 HANDS MERLOT PF CHANGS - 750ML,0.0
14 HANDS CHARD PF CHANGS - 750ML,0.0
ZUBR LAGER  - 16.9OZNR,0.0
ZUBR LAGER CAN - 16.9OZ,0.0
ZUCCARDI POLIGONOS CAB FRANC SAN PABLO - 750ML,0.0
ZUFINI PINOT GRIGIO - 750ML,0.0
2 BROS CANE & EBEL 4/6 12OZ NR,0.0
2 BROS CANE & EBEL 1/2 KEG,0.0
2 BROS BLOOD PINBALL 4/6 CANS,0.0
2 BROS ATOM SMASHER 4/6 NR,0.0
2 BROS ATOM SMASHER 1/2 KEG,0.0
2 BROS 20TH ANNI 4/6 CANS,0.0
1906 RESERVA ESPECIAL 4/6NR - 11.2OZ,0.0
19 BEILER PERE & FILS SABINE ROSE - 750ML,0.0
1865 MALBEC - 750ML,0.0
ROTTIERS MANGANESE ROSE SPK - 750ML,0.0
ROTHSCHILD AUSSIERES ROUGE - 750ML,0.0
10 SPAN CC CHARD - 750ML,0.0
ROTHSCHILD AUSSIERES CHARD - 750ML,0.0
10 BARREL PUB BEER 2/15 PK CAN,0.0
10 BARREL PUB BEER 1/18PK CANS,0.0
10 BARREL JOE IPA 1/6K,0.0
2 BROS PEPPERMINT BARK PORTER 1/6 KEG,0.0
2 BROS OUTLAW IPA 4/6 12OZ CANS,0.0
2 BROS NORTHWIND 4/6 NR,0.0
2 BROS LOVE OF HOPS 4/6 CANS,0.0
2 BROS LOVE OF HOPS 1/2 KEG,0.0
2 BROS ITF LIME WITH SEA SALT 4/6 CANS,0.0
21ST AMENDMENT HELL OR HIGH 1/6K,0.0
2 BROS IN THE DARK 6/4 CANS,0.0
2 BROS HEAVY HANDED IPA 4/6 NR,0.0
2 BROS HEAVY HANDED IPA 4/6 CANS,0.0
2 BROS HEAVY HANDED 1/6 KEG,0.0
2 BROS EBEL'S WEISS 1/2 KEG,0.0
2 BROS EBEL WEISS 4/6 NR,0.0
2 BROS DOM DU PAGE 4/6NR,0.0
2 BROS CITRA UNITED 4/6 NR,0.0
2 BROS CANE & EBEL RYE ALE 1/6 KEG,0.0
ROTHMAN & WINTER ORCHARD PEAR LIQ - 750ML,0.0
21ST AMENDMENT DOWN TO EARTH IPA 1/2 KEG,0.0
21ST AMENDMENT BLOOD ORANGE IPA - 1/2K,0.0
21ST AMENDMENT BLOOD ORANGE - 12.OZ 4/6 CAN,0.0
21ST AMENDMENT BLAH BLAH IPA - CANS,0.0
21ST AMENDMENT BLAH BLAH IPA - 12.OZ NR,0.0
21ST AMENDMENT BLAH BLAH IPA - 1/2K,0.0
21ST AMENDMENT BABY HORSE QUAD 4/6 CAN,0.0
20000 LEGUAS AMBER - 750ML,0.0
ROTHMAN & WINTER ORCHARD PEACH LIQ - 750ML,0.0
2 BROS WOBBLE IPA 4/6 NR,0.0
2 BROS PRAIRIE PATH 4/6 NR,0.0
2 BROS PINCH O GRACE 4/6 NR,0.0
2 BROS PINBALL 4/6 12OZ CANS,0.0
2 BROS PINBALL 1/6 KEG,0.0
2 BROS PEPPERMINT PORTER 12/22OZ NR,0.0
21ST. AMENDMENT HOP CRISIS 6/4 CANS - 12OZ,0.0
21ST AMENDMENT WATERMELON FUNK - 12OZ CAN,0.0
21ST AMENDMENT WATERMELON 1/2K,0.0
21ST AMENDMENT WATERMELON - 12.OZ 15PK,0.0
21ST AMENDMENT VARIETY PACK - 12OZ CAN,0.0
21ST AMENDMENT TOASTED - 12OZED - 12OZ,0.0
21ST AMENDMENT TERRIBLE IDEA 4/6 CANS,0.0
21ST AMENDMENT TASTY IPA 4/6 CANS,0.0
21ST AMENDMENT TASTY IPA 1/2 KEG,0.0
21ST AMENDMENT TASTY IPA 1/15PK CANS,0.0
21ST AMENDMENT TALES FROM KETTLE 4/6 CANS,0.0
21ST AMENDMENT SPARKALE ROSE 4/6 CANS,0.0
21ST AMENDMENT MONKS BLOOD 4/6 CAN 12.OZ,0.0
21ST AMENDMENT LOWER THE BOOM 6/4 CANS - 8.4OZ,0.0
3 STARS #ULTRA FRESH 6/4 16OZ CANS,0.0
